评论ID,原始评论,清洗后纯评论（无地名/无新增词）,核心分词（无地名/无新增词）,核心分词字符串（无地名/无新增词）,情感分析结果,解析
278,第一眼看到梁月的跟我走,第一眼看到梁月的跟我走,"['第一眼', '看到', '梁月', '跟我走']",第一眼 看到 梁月 跟我走,0,该评论仅描述了“第一眼看到梁月的跟我走”这一观察或联想，未使用明显的情感词汇，也没有表达出明确的喜爱、批评或期待，因此整体情感倾向为中性。
282,喻繁：陈景深。我是你的全世界对吗？,喻繁：陈景深。我是你的全世界对吗？,"['喻繁', '景深', '全世界']",喻繁 景深 全世界,1,评论中使用了“我是你的全世界”这一表达，传递出强烈的情感依赖和亲密关系，带有浪漫和积极的情绪色彩，整体情感倾向为正面。
285,老师老师能画李简吗？,老师老师能画李简吗？,"['能画', '李简']",能画 李简,1,该评论以“老师老师”的亲切称呼开头，表达了提问者的热情和期待，整体语气充满请求和兴趣，显示出对创作内容的积极关注和喜爱。
283,够级他们也偷不走,够级他们也偷不走,['够级'],够级,0,该评论仅陈述“够级他们也偷不走”这一事实，未使用明显的情感词汇，也未表达对事件或对象的褒贬态度，属于客观陈述，因此情感倾向为中性。
286,科研的新星,科研的新星,"['科研', '新星']",科研 新星,1,该评论使用了“新星”这一积极词汇，表达了对科研领域新兴力量的赞赏与期待，整体情感倾向为正面。
287,但是傩戏现在已经被很多所谓的网红弄变味道了，我们看到的真的是我们的传统文化了吗？,但是傩戏现在已经被很多所谓的网红弄变味道了，我们看到的真的是我们的传统文化了吗？,"['但是', '傩戏', '已经', '很多', '所谓', '网红', '味道', '看到', '真的', '传统文化']",但是 傩戏 已经 很多 所谓 网红 味道 看到  传统文化,-1,评论通过“变味道”、“真的是我们的传统文化了吗”等质疑性表述，表达了对网红文化侵蚀传统傩戏的不满与担忧，带有明显的批判和失望情绪。
281,啊！感觉第一次刷到博主还流量不是很多，当时在想怎么做的这么好视频大多只有几千赞呀,啊！感觉第一次刷到博主还流量不是很多，当时在想怎么做的这么好视频大多只有几千赞呀,"['第一次', '刷到', '博主', '流量', '很多', '当时', '这么', '好', '视频', '大多', '只有', '几千', '赞']",第一次 刷到 博主 流量 很多 当时  好 视频 大多 只有 几千 赞,1,评论中使用了“做得这么好”等积极词汇，表达了对博主视频质量的赞赏，同时“怎么只有几千赞呀”隐含了对其未获更高流量的惋惜与支持，整体情感倾向为正面。
284,jzb你让繁繁第二次失去了妈妈,jzb你让繁繁第二次失去了妈妈,"['jzb', '繁繁', '第二次', '失去', '妈妈']",jzb 繁繁 第二次 失去 妈妈,-1,评论中“失去了妈妈”这一表述带有强烈的悲伤和指责意味，暗示角色或玩家经历了痛苦的失去，并直接点名“jzb”进行归责，整体表达了不满、悲伤和批评的负面情绪。
289,居然带我们戏神玩,居然带我们戏神玩,"['居然', '戏神']",居然 戏神,1,评论中的“居然”带有惊喜和意外的语气，“带我们戏神玩”表达了对被关注和参与的喜悦与认可，整体传递出积极的情感倾向。
288,我们贵州傩戏不长这样。。。既然是非遗能不能尊重一下,我们贵州傩戏不长这样。。。既然是非遗能不能尊重一下,"['傩戏', '这样', '既然', '非遗', '不能', '尊重', '一下']",傩戏 这样 既然 非遗 不能 尊重 ,-1,评论通过“不长这样”直接指出内容与真实贵州傩戏不符，并以“能不能尊重一下”表达对非遗文化被错误呈现的不满和批评，整体带有明显的负面情绪。
294,^.-旺仔牛奶-.^,.旺仔牛奶.,"['旺仔', '牛奶']",旺仔 牛奶,0,该评论仅提及“旺仔牛奶”这一产品名称，未表达任何主观评价或情感色彩，属于客观陈述，因此情感倾向为中性。
291,朝阳区铁头功小学生,朝阳区铁头功小学生,"['朝阳区', '铁头功', '小学生']",朝阳区 铁头功 小学生,0,该评论仅提及“朝阳区铁头功小学生”，是一个描述性短语，未包含明显的积极或消极情感词汇，也未表达个人态度或评价，因此情感倾向为中性。
290,我家那边有个景区，叫中国傩城,我家那边有个景区，叫中国傩城,"['我家', '那边', '有个', '景区', '中国', '傩城']",我家 那边 有个 景区 中国 傩城,0,该评论仅陈述了一个事实——介绍某个景区的名称，没有使用任何表达情感倾向的词汇，也没有表现出明显的喜爱、厌恶或评价态度，因此整体情感倾向为中性。
293,第一次听这个名字，愿祖国的优秀文化都能被发扬光大。,第一次听这个名字，愿祖国的优秀文化都能被发扬光大。,"['第一次', '名字', '祖国', '优秀', '文化', '发扬光大']",第一次 名字 祖国 优秀 文化 发扬光大,1,评论中“愿祖国的优秀文化都能被发扬光大”表达了强烈的积极愿望和自豪感，体现了对文化传承的支持与期待，整体情感倾向明显为正面。
295,第一次知道有这个,第一次知道有这个,['第一次'],第一次,0,该评论仅表达了“第一次知道有这个”的事实陈述，没有使用明显的积极或消极词汇，也没有表达出喜爱、期待、不满等情感倾向，属于中性表达。
296,还有非遗文化阳戏！,还有非遗文化阳戏！,"['非遗', '文化', '阳戏']",非遗 文化 阳戏,1,评论中提及“非遗文化阳戏”并使用了感叹号，表达了对传统文化元素的认可和兴奋之情，体现了积极的文化自豪感和支持态度，整体情感倾向为正面。
297,爷爷这个可以吗？求,爷爷这个可以吗？求,"['爷爷', '可以']", ,0,该评论以询问和请求的口吻表达，没有明显的积极或消极情感词汇，仅是在询问可行性或寻求帮助，整体情感倾向为中性。
292,谁懂全认识的 救赎感,谁懂全认识的 救赎感,"['认识', '救赎']",认识 救赎,1,评论中“救赎感”一词带有强烈的积极情感色彩，通常用于表达从困境或负面状态中得到解脱、治愈的正面体验。“全认识”可能指对作品角色或内容的熟悉，这种熟悉感增强了积极的共鸣，整体表达了满足和愉悦的情绪。
299,可是傩戏不是都需要戴面具吗,可是傩戏不是都需要戴面具吗,"['可是', '傩戏', '需要', '戴面具']",可是 傩戏 需要 戴面具,0,该评论仅提出了一个关于傩戏是否需要戴面具的疑问，属于客观询问或探讨，没有表达明显的积极或消极情绪，情感倾向为中性。
298,被诅咒的禁忌女巫,被诅咒的禁忌女巫,"['诅咒', '禁忌', '女巫']",诅咒 禁忌 女巫,0,该评论仅提及“被诅咒的禁忌女巫”这一描述性短语，未包含任何表达个人态度或情感倾向的词汇，无法判断其正面或负面立场，因此归类为中性。
300,就冲着带我们《盗墓笔记》玩，关了！！！,就冲着带我们盗墓笔记玩，关了！！！,"['冲着', '盗墓', '笔记']",冲着 盗墓 笔记,1,评论中“冲着带我们盗墓笔记玩”表达了对联动内容的积极认可和兴奋，“关了”在此语境下是网络用语，表示肯定和支持，整体情感倾向为正面。
301,有种诡谲感,有种诡谲感,"['有种', '诡谲']",有种 诡谲,-1,评论中“诡谲感”一词带有诡异、难以捉摸的负面含义，暗示了某种不安或不愉快的感受，整体表达了对内容或情境的消极评价。
305,我去老师太强了,我去老师太强了,['太强'],太强,1,评论中使用了“太强了”这一高度赞扬的表达，直接表达了对老师能力或表现的敬佩与肯定，整体情感积极且充满赞赏。
304,“看似扮鬼，实则酬神”,看似扮鬼，实则酬神,"['看似', '扮鬼', '实则', '酬神']",看似 扮鬼 实则 酬神,0,该评论使用了“看似...实则...”的表述结构，仅描述了一种表面与实质的对比关系，并未直接表达明确的情感立场或价值判断，因此整体情感倾向为中性。
302,这是我我家那里的傩戏，贵州傩戏看德江,这是我我家那里的傩戏，贵州傩戏看德江,"['我家', '那里', '傩戏', '傩戏', '德江']",我家 那里 傩戏 傩戏 德江,1,该评论以自豪的语气介绍家乡文化，明确提及“贵州傩戏看德江”这一具体地域特色，带有文化认同感和推广意愿，整体情感积极正面。
303,感觉很有南方巫蛊的风格啊！,感觉很有南方巫蛊的风格啊！,"['南方', '风格']",南方 风格,1,评论中使用了“很有风格”这样的积极表达，体现出对南方巫蛊元素的欣赏和认可，整体情感倾向为正面。
307,愿神明偏爱，佑一往无前,愿神明偏爱，佑一往无前,"['神明', '偏爱', '', '一往无前']",神明 偏爱  一往无前,1,评论中“愿神明偏爱”、“佑一往无前”等表达传递了美好的祝愿和积极的期许，整体情感充满祝福与鼓励，属于正面情感。
308,吟江´•ﻌ•`,吟江,['吟江'],吟江,0,该评论仅提及“吟江”这一名称，未包含任何情感色彩或评价性词汇，无法判断其正面或负面倾向，因此属于中性表达。
306,好消息，打打电话要狂想了,好消息，打打电话要狂想了,"['好消息', '打电话', '狂想']",好消息 打电话 狂想,1,评论中“好消息”直接表达了积极态度，“狂想”一词带有兴奋和期待的意味，整体传递出对即将发生事件的喜悦和热切期盼，情感倾向明显为正面。
309,居然带我们盗墓和第五玩,居然带我们盗墓和第五玩,"['居然', '盗墓', '第五']",居然 盗墓 第五,1,评论中使用了“居然带我们”这样的惊喜表达，结合“盗墓和第五玩”的联动内容，显示出对跨界合作的兴奋和期待，整体情感倾向为正面。
310,-南瓜粥^,南瓜粥,['南瓜'],南瓜,0,该评论仅提及“南瓜粥”这一具体事物，未附加任何情感色彩或评价性词汇，无法从中推断出明确的情感倾向，因此属于中性表达。
311,阿喵不想上班,阿喵不想上班,"['不想', '上班']",不想 上班,0,该评论仅表达了“阿喵不想上班”的个人状态陈述，没有使用明显的情感词汇，也未表达对事物的评价或态度，属于中性表达。
314,吴虞.hiU_Ii,吴虞.hiUIi,"['吴虞', 'hiUIi']",吴虞 hiUIi,0,该评论仅包含一个疑似用户名或标识符的文本，没有表达明确的情感态度或观点，无法判断其情感倾向，因此归类为中性。
313,其实我挺心酸的，所有人只注意CP，但没有人注意这项手艺,其实我挺心酸的，所有人只注意CP，但没有人注意这项手艺,"['其实', '心酸', '所有人', '注意', '', 'CP', '注意', '这项', '手艺']", 心酸 所有人 注意  CP 注意 这项 手艺,-1,评论中“挺心酸的”直接表达了负面情绪，暗示了失望和遗憾。作者认为公众只关注CP而忽视了传统手艺，这种对比强化了不满和惋惜的情感倾向。
312,太好了，我们九也是微火起来了,太好了，我们九也是微火起来了,"['太好了', '微火', '起来']",太好了 微火 起来,1,评论中使用了“太好了”这一明确表达喜悦的积极词汇，同时“微火起来了”是网络用语，形容事物开始受到关注或变得受欢迎，整体传达出对“九”这一对象发展态势的欣喜与支持，情感倾向积极正面。
316,"""傩″我还是从魈宝身上了解到的","""傩我还是从魈宝身上了解到的","['从魈宝', '身上', '了解']",从魈宝 身上 了解,1,评论中使用了“魈宝”这一亲昵称呼，表达了对角色的喜爱和熟悉感，整体语气轻松友好，体现了对游戏内容的积极关注和兴趣。
318,还是戴面具的更有感觉，上初一学美术的应该已经学到这个戏的面具了。,还是戴面具的更有感觉，上初一学美术的应该已经学到这个戏的面具了。,"['戴面具', '初一', '美术', '应该', '已经', '学到', '面具']",戴面具 初一 美术 应该 已经 学到 面具,0,该评论主要陈述了戴面具更有感觉的个人观察，并提及初一美术课程可能涉及相关内容，属于客观描述和知识分享，没有明显的情感倾向表达。
317,边城中的男主就叫傩送，傩神送来的孩子，大概是希望孩子无病无灾的意思,边城中的男主就叫傩送，傩神送来的孩子，大概是希望孩子无病无灾的意思,"['城中', '男主', '傩神', '送来', '孩子', '大概', '希望', '孩子', '无灾', '意思']",城中 男主 傩神 送来 孩子 大概 希望 孩子 无灾 意思,0,该评论主要是在解释“傩送”这一名字的由来和寓意，属于客观陈述，没有表达个人喜好或情绪倾向，因此情感为中性。
319,跳岭头好像也是一个小小的傩戏,跳岭头好像也是一个小小的傩戏,"['岭头', '好像', '一个', '小小的', '傩戏']",岭头 好像 一个 小小的 傩戏,0,该评论仅陈述了“跳岭头”与傩戏的关联性，属于客观事实描述，未使用明显的情感词汇或表达个人态度，因此情感倾向为中性。
315,岁安爱摆烂,岁安爱摆烂,"['岁安爱', '摆烂']",岁安爱 摆烂,0,该评论仅描述了“岁安爱摆烂”这一行为或状态，没有使用明显的情感词汇或表达主观态度，属于客观陈述，因此情感倾向为中性。
323,可乐冰激凌巧克力薯片麦片牛肉片羊肉片鸡汤,可乐冰激凌巧克力薯片麦片牛肉片羊肉片鸡汤,"['可乐', '冰激凌', '巧克力', '薯片', '麦片', '牛肉', '羊肉片', '鸡汤']",可乐 冰激凌 巧克力 薯片 麦片 牛肉 羊肉片 鸡汤,0,该评论仅列举了一系列食物名称，没有表达任何主观评价或情感色彩，属于客观陈述，因此情感倾向为中性。
320,谁懂呀我们终于被邀请了欢迎大家来玩我们以闪亮之名这个池子还有非遗联动故宫博物院联动戏曲套包括巫蛊套和旗头各种精美家具免费送,谁懂呀我们终于被邀请了欢迎大家来玩我们以闪亮之名这个池子还有非遗联动故宫博物院联动戏曲套包括巫蛊套和旗头各种精美家具免费送,"['终于', '邀请', '欢迎', '大家', '闪亮', '之名', '池子', '非遗', '联动', '故宫博物院', '联动', '戏曲', '包括', '旗头', '各种', '精美', '家具', '免费送']",终于 邀请 欢迎 大家 闪亮 之名 池子 非遗 联动 故宫博物院 联动 戏曲 包括 旗头 各种 精美 家具 免费送,1,评论中使用了“终于被邀请了”、“欢迎大家来玩”等积极表达，并列举了多项联动和福利内容如“非遗联动”、“免费送”，整体充满兴奋、自豪和邀请的热情，情感倾向明显为正面。
321,一个低调的网名,一个低调的网名,"['一个', '低调', '网名']",一个 低调 网名,0,该评论仅描述了一个网名的特征（“低调”），没有表达任何主观情感或评价，属于客观陈述，因此情感倾向为中性。
322,我只是受控又不是梦三和拆CP的猪,我只是受控又不是梦三和拆CP的猪,"['只是', '受控', 'CP']",只是 受控 CP,-1,评论中“又不是梦三和拆CP的猪”使用了贬义比喻，将特定群体称为“猪”，带有明显的攻击性和不满情绪，表达了强烈的排斥和负面态度。
325,风吟吟 雨吟吟 摇响同心铃ᵔ.ᵔ,风吟吟 雨吟吟 摇响同心铃.,"['风吟', '雨吟吟', '摇响', '', '同心']",风吟 雨吟吟 摇响  同心,1,评论通过“风吟吟 雨吟吟”营造出诗意氛围，并以“摇响同心铃”象征和谐与联结，整体表达浪漫、美好的意境，传递积极情感。
324,完了全认识,完了全认识,['认识'],认识,0,该评论仅表达了“全认识”这一事实陈述，没有使用明显的情感词汇或表达个人态度，缺乏积极或消极的情感色彩，属于客观描述性质的中性评论。
327,爷爷祝你永远幸福！！99,爷爷祝你永远幸福！！99,"['爷爷', '永远', '幸福', '', '99']", 永远 幸福  ,1,评论中使用了“永远幸福”和“99”（网络用语表示“久久”，寓意长久）等祝福性词汇，表达了对爷爷的美好祝愿和积极情感，整体情感倾向明显为正面。
328,甜甜的桂花饼,甜甜的桂花饼,"['甜甜的', '桂花']",甜甜的 桂花,1,评论中“甜甜的”一词直接表达了积极的味觉感受和愉悦情绪，通常用于描述令人喜爱或享受的事物，整体传递出满足和喜爱的正面情感。
326,新号还差10个粉，哪个好心人帮帮忙啊，我提前祝她瘦10斤,新号还差10个粉，哪个好心人帮帮忙啊，我提前祝她瘦10斤,"['新号', '10', '个粉', '哪个', '好心人', '帮帮忙', '提前', '10']",新号 10 个粉 哪个 好心人 帮帮忙 提前 10,1,该评论以求助形式表达需求，但使用了“好心人”等礼貌称呼和“提前祝她瘦10斤”的积极祝福，整体语气友善且带有期待，情感倾向为正面。
330,东京奥运开幕那年是不是就是想要这种效果,东京奥运开幕那年是不是就是想要这种效果,"['东京', '奥运', '开幕', '那年', '是不是', '想要', '这种', '效果']",东京 奥运 开幕 那年  想要  效果,0,该评论以疑问句形式提出对东京奥运开幕式的联想，未使用明显的情感词汇，仅表达一种推测性思考，没有展现明确的正面或负面态度，属于中性评论。
329,没有橙汁的静静,没有橙汁的静静,"['橙汁', '静静']",橙汁 静静,0,该评论仅提及“没有橙汁的静静”，未使用明显的情感词汇或表达态度，可能为陈述事实或简单提及，缺乏积极或消极的情感倾向，因此判断为中性。
331,好漂亮啊，好喜欢,好漂亮啊，好喜欢,"['好', '漂亮', '好', '喜欢']",好 漂亮 好 喜欢,1,该评论使用了“好漂亮”、“好喜欢”等直接且强烈的积极词汇，明确表达了对事物的喜爱和赞赏，整体情感倾向非常积极正面。
336,红尘笑陌颜,红尘笑陌颜,"['红尘', '陌颜']",红尘 陌颜,0,该评论仅为一个网络昵称或短语，未表达明确的情感态度或观点，缺乏积极或消极的情感词汇，因此判断为中性。
332,好帅啊,好帅啊,['好帅'],好帅,1,该评论使用了“好帅啊”这一直接表达赞美和欣赏的积极词汇，明确表达了对对象外貌或表现的喜爱和肯定，整体情感倾向为正面。
333,爷爷，city of angels 可以嘛,爷爷，city of angels 可以嘛,"['爷爷', 'city', 'of', 'angels', '可以']", city of angels ,0,该评论以询问形式表达对某事物的兴趣，使用了礼貌称呼“爷爷”，但未包含明显的情感倾向词汇，仅表达询问意图，整体情感倾向为中性。
334,老师，我oc,老师，我oc,['oc'],oc,0,该评论仅提及“老师，我oc”，内容不完整且缺乏明确的情感表达，未使用积极或消极词汇，仅陈述事实或开启话题，因此情感倾向为中性。
335,安徽池州有傩戏,安徽池州有傩戏,"['池州', '傩戏']",池州 傩戏,0,该评论仅陈述了“安徽池州有傩戏”这一事实，未使用任何带有情感色彩的词汇或表达个人态度，属于客观信息陈述，因此情感倾向为中性。
337,你要这么想 我也没办法,你要这么想 我也没办法,"['这么', '办法']", 办法,-1,该评论使用了“你要这么想 我也没办法”这一常见消极回应句式，带有明显的敷衍、无奈或不满情绪，通常暗示沟通受阻或对对方观点的不认同，整体情感倾向为负面。
338,傩舞起 百灾消,傩舞起 百灾消,"['傩舞', '百灾消']",傩舞 百灾消,1,该评论引用了传统文化元素“傩舞”并搭配“百灾消”的吉祥寓意，表达了对驱邪避灾、平安顺遂的美好祝愿，整体情感积极向上，属于正面评价。
339,来瓶矿泉水,来瓶矿泉水,"['来瓶', '矿泉水']",来瓶 矿泉水,0,该评论仅表达了“来瓶矿泉水”这一日常需求或陈述，没有使用明显的情感词汇，也没有表达对特定事物的评价或态度，属于中性陈述。
340,老师求撒野,老师求撒野,['撒野'],撒野,1,评论中“求撒野”是一种网络用语，表达对老师或内容的喜爱和期待，带有积极互动和赞赏的意味，整体情感倾向为正面。
344,尖叫的鼓棒子,尖叫的鼓棒子,"['尖叫', '棒子']",尖叫 ,0,该评论仅描述了一个具体物品“尖叫的鼓棒子”，没有表达明确的情感倾向或评价性词汇，属于中性陈述，无法判断正面或负面情感。
343,永远幸福,永远幸福,"['', '永远', '幸福']", 永远 幸福,1,评论中的“永远幸福”是典型的祝福语，表达了对他人或事物长久美满的祝愿，带有强烈的积极情感和善意，整体情感倾向为正面。
342,母神傩就是权威,母神傩就是权威,"['母神', '权威']",母神 权威,1,该评论使用“权威”这一具有高度肯定意义的词汇，直接表达了对“母神傩”的尊崇和认可，语气坚定且充满敬意，整体情感倾向为正面。
347,非遗是非物质文化遗产的简称，所以后面不能再加文化,非遗是非物质文化遗产的简称，所以后面不能再加文化,"['非遗', '非物质文化遗产', '简称', '所以', '后面', '不能', '文化']",非遗 非物质文化遗产 简称  后面 不能 文化,0,该评论是对“非遗”术语的客观解释和语法纠正，没有表达个人情感或价值判断，属于陈述事实的中性表达。
345,怪我一洄主义,怪我一洄主义,['主义'],主义,-1,评论中“怪我”带有自责或抱怨的语气，“一洄主义”可能指代某种行为或态度，整体表达了一种自我批评或不满的情绪，情感倾向为负面。
351,锦鲤附体了,锦鲤附体了,"['锦鲤', '附体']",锦鲤 附体,1,评论中“锦鲤附体”是网络流行语，常用来形容运气极好或获得意外惊喜，带有祝福和喜悦的意味，表达了积极的情感倾向。
341,多支持，多推荐中国的东西,多支持，多推荐中国的东西,"['支持', '推荐', '中国', '东西']",支持 推荐 中国 东西,1,该评论使用了“多支持”、“多推荐”等积极词汇，表达了对中国文化的推广和鼓励态度，整体情感倾向为正面。
348,傩戏！我是德江的，小时候过年的时候都会有人每家每户表演傩戏，但是现在没有了,傩戏！我是德江的，小时候过年的时候都会有人每家每户表演傩戏，但是现在没有了,"['傩戏', '德江', '小时候', '过年', '时候', '有人', '每家每户', '表演', '傩戏', '但是']",傩戏 德江 小 过年  有人 每家每户 表演 傩戏 但是,0,该评论陈述了个人经历和观察，提到傩戏在德江的过去存在与现在的消失，属于事实性描述。虽然隐含对文化变迁的感慨，但未使用明确的情感词汇，整体情感倾向中性。
349,@照亮我 @连翘 @emo,照亮我 连翘 emo,"['照亮', '连翘', 'emo']",照亮 连翘 emo,-1,评论中“emo”一词是网络用语，表示情绪低落、抑郁或伤感，带有明显的负面情感色彩。结合“照亮我 连翘”的语境，可能表达了对某事物或情境的失望、无奈或消极感受，整体情感倾向为负面。
350,跳完不是要献祭？,跳完不是要献祭？,['献祭'],献祭,-1,评论中的“献祭”一词带有强烈的负面暗示，通常与牺牲、不祥等消极含义相关，表达了用户对跳完后可能发生不利后果的担忧或不满，整体情感倾向为负面。
346,没有我你能来这么早看到细糠吗,没有我你能来这么早看到细糠吗,"['这么', '看到', '细糠']", 看到 细糠,-1,评论中“细糠”一词带有贬义色彩，暗指内容质量低下或令人不适，结合反问句式“没有我你能...吗”，整体表达了对内容或发布者的讽刺与不满，情感倾向为负面。
353,大胆往前走，流言蜚语姐替你挡◟(˶> ᎑ <˶)◞,大胆往前走，流言蜚语姐替你挡( ),"['', '大胆', '往前走', '流言蜚语', '姐']", 大胆 往前走 流言蜚语 姐,1,该评论使用了“大胆往前走”、“替你挡”等鼓励和支持性的词汇，表达了对对方的坚定支持和保护意愿，整体情感积极且充满力量。
352,像画里走出来的,像画里走出来的,"['画里', '出来']",画里 ,1,评论使用了“像画里走出来的”这一比喻，这是一种高度赞美和欣赏的表达，常用于形容人或事物非常美好、令人向往，整体情感倾向明显为正面。
354,绝了，好有感觉,绝了，好有感觉,['好'],好,1,评论中“绝了”是网络流行语，表达强烈的赞叹，“好有感觉”直接传递出积极体验和喜爱之情，整体用词充满肯定与欣赏，情感倾向明确为正面。
355,"止墨,林又迟","止墨,林又迟",['止墨'],止墨,0,该评论仅列举了“止墨”和“林又迟”两个名称，未附加任何评价性词汇或情感表达，无法推断其明确的情感倾向，因此属于中性陈述。
357,长长久久,长长久久,"['', '长长', '久久']", 长长 ,1,该评论使用了“长长久久”这一祝福性词汇，通常用于表达对事物持久、美好的祝愿，带有积极的期待和正面情感，整体倾向为正面。
356,还有京剧猫,还有京剧猫,['京剧'],京剧,0,该评论仅提及“京剧猫”这一名称，没有使用任何情感色彩强烈的词汇，也没有表达明确的喜好或态度，仅作为信息陈述，因此情感倾向为中性。
358,谁懂天官赐福出来的救赎感？,谁懂天官赐福出来的救赎感？,"['天官赐福', '出来', '救赎']",天官赐福  救赎,1,该评论使用了“救赎感”这一具有积极情感色彩的词汇，表达了对《天官赐福》内容或角色的深刻共鸣与赞赏。“谁懂”的句式带有寻求认同和分享喜悦的意味，整体情感倾向为正面。
359,非遗文化也是网红妆？,非遗文化也是网红妆？,"['非遗', '文化', '红妆']",非遗 文化 红妆,-1,该评论通过反问句式“非遗文化也是网红妆？”表达了对将非遗文化与网红妆相提并论的不满和质疑，暗示这种行为可能贬低了非遗文化的价值，带有讽刺和批评的意味，整体情感倾向为负面。
362,老师求伪装学渣,老师求伪装学渣,"['伪装', '学渣']",伪装 学渣,1,评论中使用了“求”这一表达请求的词语，结合“伪装学渣”这一网络流行梗，通常用于表达对某部作品或角色的喜爱与期待，整体语气带有积极和热切的倾向。
360,小说妹能来报道。,小说妹能来报道。,"['小说', '妹能', '报道']",小说 妹能 报道,0,该评论仅陈述“小说妹能来报道”这一事实，没有使用明显的情感词汇，也没有表达出喜爱、期待或不满等情绪，属于客观陈述，因此情感倾向为中性。
367,Shawn天选之子,Shawn天选之子,"['Shawn', '天选之子']",Shawn 天选之子,1,该评论使用了“天选之子”这一高度赞扬的词汇，表达了对Shawn的认可与欣赏，整体情感倾向明显为正面。
366,第一次知道。感谢你们！向从事这个职业的人致敬！,第一次知道。感谢你们！向从事这个职业的人致敬！,"['第一次', '感谢', '从事', '职业', '致敬']",第一次 感谢 从事 职业 致敬,1,评论中使用了“感谢你们”、“致敬”等积极词汇，表达了对相关职业人员的感激和尊敬，整体情感倾向明显为正面。
363,好离谱,好离谱,"['好', '离谱']",好 离谱,-1,评论中“好离谱”是网络常用表达，通常表示对事物超出常理、难以理解的负面评价，带有惊讶、不满或批评的情绪，整体情感倾向为负面。
361,这个电影我穿过！！最后一个故事就是关于这个，也是我第一次知道,这个电影我穿过！！最后一个故事就是关于这个，也是我第一次知道,"['电影', '穿过', '最后', '一个', '故事', '关于', '第一次']",电影 穿过 最后 一个 故事 关于 第一次,1,评论者使用了“我穿过”和“第一次知道”等表达，传递了亲身经历和获得新知的积极感受，整体语气带有分享的兴奋和认可，情感倾向为正面。
365,喜欢山还是海,喜欢山还是海,['喜欢'],喜欢,0,该评论仅询问“喜欢山还是海”，是一个开放式的选择性问题，没有表达明确的喜好或情绪倾向，也未使用任何带有情感色彩的词汇，因此属于中性评论。
364,贵州德江是傩戏之乡,贵州德江是傩戏之乡,"['德江', '傩戏']",德江 傩戏,0,该评论仅陈述了“贵州德江是傩戏之乡”这一事实，没有使用任何带有情感倾向的词汇，也未表达个人喜好或评价，属于客观信息陈述，因此情感倾向为中性。
369,"rouoii,林又迟","rouoii,林又迟",['rouoii'],rouoii,0,该评论仅包含角色名或昵称，未表达明确的情感态度或评价性内容，缺乏积极或消极的情感词汇，因此判断为中性。
368,强力杀虫剂,强力杀虫剂,"['强力', '杀虫剂']",强力 杀虫剂,0,该评论仅提及“强力杀虫剂”这一物品名称，未表达任何个人情感、评价或立场，属于客观陈述，无明显情感倾向。
370,我的家乡戏,我的家乡戏,['家乡'],家乡,0,该评论仅提及“我的家乡戏”这一客观事实，未使用任何带有情感色彩的词汇或表达个人态度，属于陈述性内容，没有明显的情感倾向。
371,靖妖傩舞！,靖妖傩舞！,['傩舞'],傩舞,1,该评论使用了“靖妖傩舞”这一游戏角色技能或主题相关词汇，语气带有兴奋和赞赏的意味，表达了对内容或角色的喜爱与支持，整体情感倾向为正面。
372,我居然才知道傩戏，为什么会越来越少,我居然才知道傩戏，为什么会越来越少,"['居然', '傩戏', '为什么', '越来越少']",居然 傩戏 为什么 越来越少,0,"该评论主要表达了对傩戏这一传统文化逐渐减少的发现和疑问，使用了""居然才知道""表示意外，但整体语气较为客观，没有明显的积极或消极情感倾向，属于中性表达。"
373,春天的蘑菇,春天的蘑菇,"['春天', '蘑菇']",春天 蘑菇,0,"该评论仅提及""春天的蘑菇""这一客观事物，没有表达任何主观情感或评价性词汇，属于中性陈述，无法判断情感倾向。"
378,拍个写真就是傩戏了？,拍个写真就是傩戏了？,"['拍个', '写真', '傩戏']",拍个 写真 傩戏,-1,评论以反问句式表达质疑和不满，暗示对将写真与傩戏关联的不认同，带有讽刺意味，整体情感倾向为负面。
374,于是我开始假装幸福,于是我开始假装幸福,"['于是', '开始', '假装', '幸福']",于是 开始 假装 幸福,-1,该评论使用了“假装幸福”这一表达，暗示了内心的不真实感和潜在的痛苦或无奈，带有明显的消极情绪。这种表述通常反映了对现状的不满或情感上的压抑，整体情感倾向为负面。
379,卡尔111,卡尔111,"['卡尔', '111']",卡尔 111,0,该评论仅包含用户名“卡尔111”，没有表达任何具体观点或情感色彩，无法判断其情感倾向，因此属于中性评论。
380,好喜欢！,好喜欢！,"['好', '喜欢']",好 喜欢,1,评论使用了“好喜欢”这一强烈表达喜爱的词汇，直接传达了积极的情感态度，整体情感倾向明确为正面。
376,⁺✞ʚ三月七重度依赖ɞ✟₊,三月七重度依赖,"['三月', '重度', '依赖']",三月 重度 依赖,0,该评论仅提及角色名称“三月七”和状态描述“重度依赖”，未使用明显的情感词汇或表达主观态度，属于客观陈述，没有明确的情感倾向。
381,重返未来你真是火了,重返未来你真是火了,"['重返', '未来', '真是']",重返 未来 真是,1,该评论使用了“火了”这一网络流行语，表达了对“重返未来”这一作品或项目获得成功、受到欢迎的认可和祝贺，带有积极和赞赏的情感色彩。
