评论者昵称,评论内容,cleaned_content,segmented_content,情感分析结果,解析
醒醒,卧槽家门口，洛阳人先爽了,卧槽家门口 洛阳人先爽了,家门口 洛阳人 先爽,1,评论中“卧槽”作为感叹词表达了惊喜和兴奋，“先爽了”直接传达了愉悦和满足感，整体情绪积极，显示出对事件的强烈正面反应。
救世小伙在哀丽秘榭。,谢谢，我家附近,谢谢 我家附近,谢谢 我家 附近,0,该评论仅表达了对某个地点或信息的感谢，没有明显的情感倾向，属于中性表达。
我一天三顿土豆丝,欢迎大家来洛阳玩！！！,欢迎大家来洛阳玩,欢迎 大家 洛阳,1,该评论使用了“欢迎大家”这一热情友好的表达，主动邀请他人来洛阳游玩，体现了积极友好的态度和推广意愿，整体情感倾向为正面。
N.,这个背景音乐是哪个啊？叫什么啊啊啊查了半天没查到,这个背景音乐是哪个啊 叫什么啊查了半天没查到,背景音乐 半天 没查,0,该评论主要表达了对背景音乐的好奇和查询未果的困惑，使用了“查了半天没查到”等中性描述，没有明显的积极或消极情绪，整体属于询问性质的中性表达。
翌日彦彦,我滴妈,我滴妈,我滴,0,该评论仅使用口语化感叹词“我滴妈”，未表达明确的情感倾向或具体态度，缺乏上下文时无法判断其正面或负面含义，因此归类为中性。
千姽婳,哈哈是洛阳,哈哈是洛阳,洛阳,1,评论中“哈哈”表达了愉悦和轻松的情绪，结合“是洛阳”可能指代游戏中的地点或内容，整体语气欢快，显示出对提及内容的认可或喜爱，情感倾向为正面。
我每天都想睡觉,洛阳人爽了,洛阳人爽了,洛阳人,1,"该评论表达了洛阳人对特定事件或内容的满意与喜悦，""爽了""是积极的口语表达，传递出兴奋和愉悦的情绪，整体情感倾向为正面。"
竹海,啊啊啊啊啊啊真的，我每次问卷填写的都是和洛阳文旅联动,啊真的 我每次问卷填写的都是和洛阳文旅联动,每次 问卷 填写 洛阳 文旅 联动,1,评论表达了用户对洛阳文旅联动的积极期待和持续支持，通过“每次问卷填写都是”这一表述，体现了用户对该联动内容的喜爱和强烈愿望，整体情感倾向为正面。
竹海,如何才能买到这个灯！,如何才能买到这个灯,才能,0,该评论仅询问购买方式，没有表达对产品的喜好或厌恶，也没有使用明显的情感词汇，属于客观询问性质，情感倾向为中性。
小宇,在哪里几号,在哪里几号,几号,0,该评论仅询问具体时间或地点信息，未表达任何情感色彩或主观评价，属于纯粹的事实性询问，因此情感倾向为中性。
兔了,好棒,好棒,好棒,1,"该评论使用了""好棒""这一明确表达赞美和喜爱的积极词汇，直接传递出对评价对象的肯定与满意，整体情感倾向为正面。"
momo,和鱼鱼在一起,和鱼鱼在一起,一起,1,该评论表达了与“鱼鱼”在一起的愿望或状态，使用“在一起”这一积极词汇暗示亲密关系或陪伴，通常带有喜爱和满足的情感色彩，整体情感倾向为正面。
蓝.,太好了真打算去洛阳,太好了真打算去洛阳,太好了 打算 洛阳,1,评论中使用了“太好了”这一明确表达喜悦和兴奋的积极词汇，结合“真打算去洛阳”的行动意愿，整体传达出强烈的期待和正面情绪，因此情感倾向为正面。
抱歉甜到你了,很好很好的科普视频,很好很好的科普视频,科普 视频,1,评论中重复使用“很好很好”这一强烈肯定词汇，表达了对科普视频内容的高度认可和赞赏，整体情感倾向明显为正面。
momo.,太好了，是俺们洛阳，有救了,太好了 是俺们洛阳 有救了,太好了 洛阳 有救,1,评论中使用了“太好了”、“有救了”等强烈积极词汇，表达了对洛阳相关消息的喜悦和期待，整体情感充满希望与正面支持。
锦鲤,gun,gun,gun,-1,"该评论仅包含""gun""这一词汇，在中文网络语境中通常作为""滚""的拼音表达，带有强烈的命令、排斥和攻击性，明显传达出愤怒、厌恶或不满的负面情绪。"
Sherlock,小鱼来我家,小鱼来我家,小鱼 我家,0,"该评论仅陈述了""小鱼来我家""这一事实，没有使用明显的情感词汇，也没有表达出喜爱、厌恶或其他情绪倾向，属于客观描述性的中性表达。"
momo,联动好,联动好,联动,1,评论简洁地使用了“好”这一积极词汇，直接表达了对联动内容的肯定和喜爱，整体情感倾向明确为正面。
桉沭(帕洛斯的狗),我觉得好像没有几个人做景泰蓝，联动也不可能会联动上景泰蓝,我觉得好像没有几个人做景泰蓝 联动也不可能会联动上景泰蓝,好像 没有 几个 景泰蓝 联动 可能 联动 景泰蓝,0,该评论仅陈述了个人观察，认为景泰蓝相关创作较少且联动可能性低，未使用明显的情感词汇，表达的是客观判断而非情感倾向，因此属于中性评论。
起司理理我,我超是老家,我超是老家,我超 老家,1,该评论使用了“我超”这一网络流行语表达惊喜或兴奋，结合“老家”这一带有亲切感的词汇，整体传递出对家乡或熟悉事物的喜爱和激动之情，情感倾向为正面。
微头痛给柠檬,还没去过河南玩呢，这辈子一定要去一次洛阳！！,还没去过河南玩呢 这辈子一定要去一次洛阳,去过 河南 这辈子 一次 洛阳,1,评论中表达了“一定要去一次洛阳”的强烈愿望和期待，使用“这辈子”强调决心，体现了对河南洛阳的向往和积极态度，整体情感倾向为正面。
凛,好棒，问卷里刚好填了，这种非遗文化多多联动呀,好棒 问卷里刚好填了 这种非遗文化多多联动呀,好棒 问卷 刚好 非遗 文化 多多 联动,1,评论中使用了“好棒”等积极词汇，表达了对问卷内容与非遗文化联动的认可和喜爱，同时“多多联动呀”体现了对类似活动的期待和支持，整体情感倾向为正面。
佳宁,本来还嫌麻烦，刷到这个，我可来劲了啊,本来还嫌麻烦 刷到这个 我可来劲了啊,本来 麻烦 刷到 来劲,1,评论中“我可来劲了啊”表达了强烈的兴奋和期待感，虽然前半句提到“嫌麻烦”，但转折后整体情绪转为积极，显示出对内容的浓厚兴趣和正面态度。
阮饭饭ww,好耶，是洛阳，我们有救啦,好耶 是洛阳 我们有救啦,洛阳 有救,1,评论中使用了“好耶”这一表达兴奋的感叹词，以及“我们有救啦”这样充满希望和积极期待的表述，整体传达出对洛阳相关内容的强烈喜爱和乐观情绪，情感倾向明显为正面。
momo(每天读一遍学习强国),啊啊啊啊啊啊啊是我们洛阳耶！！,啊是我们洛阳耶,洛阳,1,该评论以“啊是我们洛阳耶”表达惊喜与亲切感，使用“我们”一词拉近距离，体现了对洛阳的归属感和自豪感，整体情感积极正面。
初暖,和咱们彻子哥一起过年啦，以后每一年都要一起过,和咱们彻子哥一起过年啦 以后每一年都要一起过,彻子哥 一起 过年 以后 一年 一起,1,评论中“一起过年啦”和“每一年都要一起过”表达了陪伴和长期共同度过的愿望，使用“彻子哥”的亲切称呼体现了喜爱与亲密感，整体传递出温暖、期待和积极的情感倾向。
你懂个p,洛阳！！降临—！,洛阳 降临,洛阳 降临,0,该评论仅提及“洛阳 降临”这一事实性信息，未使用任何带有情感色彩的词汇或表达个人态度，缺乏明确的情感倾向，因此判断为中性评论。
不愿意透露姓名的感叹号,好耶是洛阳,好耶是洛阳,洛阳,1,评论中使用了“好耶”这一表达兴奋和喜悦的网络用语，直接传递出积极情绪。提及“洛阳”可能关联特定文化或游戏内容，整体表达了对相关主题的期待或赞赏，情感倾向明显为正面。
是个小羽啊,哇我们洛阳可是出息了,哇我们洛阳可是出息了,洛阳 出息,1,评论中“哇”表达惊喜，“出息了”是积极评价，整体语气充满自豪和喜悦，明显表达对洛阳发展的正面情感。
看海,洛阳！！！！,洛阳,洛阳,0,该评论仅提及地名“洛阳”，没有表达任何情感色彩或主观评价，属于客观陈述性内容，缺乏情感倾向性判断依据。
momo,哇哇哇，想跟星星一起去看宫灯,哇 想跟星星一起去看宫灯,星星 一起 宫灯,1,评论中使用了“哇”这一感叹词表达惊喜与兴奋，并直接表达“想跟星星一起去看宫灯”的愿望，体现出对活动或内容的喜爱与向往，整体情感积极、充满期待。
猫猫鱼不钓鱼,好漂亮,好漂亮,漂亮,1,评论中使用了“好漂亮”这一积极词汇，直接表达了对所描述对象的赞赏和喜爱，情感倾向明确为正面。
OxOuii,啊啊啊空子洛阳好～,啊空子洛阳好,空子 洛阳,1,评论中使用了“好”这一积极词汇，直接表达了对“空子洛阳”的肯定与喜爱，整体情感倾向明确为正面。
半夜汽笛,卧槽好强啊,卧槽好强啊,好强,1,评论中使用了“卧槽好强啊”这样的感叹表达，其中“好强”是明显的积极评价词汇，带有强烈的赞叹和认可情绪，整体情感倾向为正面。
萨尔茨堡的盐树枝,联到洛阳啦！,联到洛阳啦,联到 洛阳,1,评论中使用了“联到洛阳啦”表达了对联动地点的兴奋和期待，语气积极，整体情感倾向为正面。
四水,在洛阳整点活动吧,在洛阳整点活动吧,洛阳 整点 活动,0,该评论仅提出在洛阳举办活动的建议，未使用明显的情感词汇，也没有表达出强烈的喜好或厌恶，属于中性陈述。
xx7,多多联动,多多联动,多多 联动,1,评论“多多联动”表达了希望增加联动活动的积极愿望，使用“多多”这一叠词传递出期待和支持的情感，整体情感倾向为正面。
momo,搞点活动吧,搞点活动吧,搞点 活动,0,该评论仅表达了对活动的期待或建议，使用了“搞点活动吧”这样的中性表述，没有明显的积极或消极情绪，整体情感倾向为中性。
药丸本丸,既然都联名了，能不能在洛阳搞点活动啊刚好过年还有庙会🥹,既然都联名了 能不能在洛阳搞点活动啊刚好过年还有庙会,联名 洛阳 搞点 活动 刚好 过年 庙会,1,评论表达了用户对联动活动的期待和支持，通过“能不能在洛阳搞点活动”提出建议，并提到“刚好过年还有庙会”，显示出对联动内容融入本地文化的积极态度，整体情感倾向为正面。
用户已注销,应天门啊！,应天门啊,天门,0,该评论仅提及“应天门”这一地点名称，未附加任何情感色彩或评价性词汇，无法推断出明确的情感倾向，因此属于中性表达。
白白白头翁,今年刚准备去洛阳玩，嘿嘿,今年刚准备去洛阳玩 嘿嘿,今年 准备 洛阳 嘿嘿,1,评论中使用了“嘿嘿”这样的拟声词表达愉悦心情，并明确表示“准备去洛阳玩”，体现出对旅行的期待和兴奋感，整体情感积极正面。
十连三金✨,继续跟中国传统文化联动！！！,继续跟中国传统文化联动,继续 中国 传统 文化 联动,1,评论中“继续跟中国传统文化联动”表达了对联动内容的认可和支持，使用“继续”一词暗示对以往类似合作的积极态度，整体情感倾向为正面。
是六月一号啊,Welcome to河南洛阳,welcome to河南洛阳,welcome to 河南 洛阳,0,该评论仅以“welcome to河南洛阳”的简单句式表达欢迎或地点介绍，未使用明显情感词汇，也未体现个人态度或评价，属于信息性陈述，无明显情感倾向。
momo,我刚好要去洛阳旅游，太巧了吧🙊🙉,我刚好要去洛阳旅游 太巧了吧,刚好 洛阳 旅游 太巧,1,评论中使用了“太巧了吧”表达惊喜和兴奋之情，结合“刚好要去洛阳旅游”表明联动内容与个人计划高度契合，整体传递出积极的期待和喜悦情绪。
AAA空调报修张师傅,又想去洛阳了,又想去洛阳了,洛阳,1,评论表达了“想去洛阳”的意愿，使用“又”字暗示了重复的渴望或美好的回忆，整体传递出对洛阳的向往和积极期待，情感倾向为正面。
Arrebol,连到我大河南了！,连到我大河南了,连到 河南,1,评论中“我大河南”带有自豪和亲切的口吻，表达了对地域关联的积极认同和喜悦，整体情感倾向为正面。
炸鱼号噼里啪啦_zz,去年怎么没有！！！,去年怎么没有,去年 没有,0,该评论仅陈述“去年怎么没有”这一事实性疑问，未使用明显的情感词汇或表达强烈态度，属于中性询问，没有明确的情感倾向。
恋哥瘾发作狂吃虾薏粥,去年去的洛阳！看来又要去一趟了！,去年去的洛阳 看来又要去一趟了,去年 洛阳 看来 去一趟,1,评论表达了因某个原因（可能是新的旅游景点或活动）而想要再次前往洛阳的意愿，使用“又要去一趟”体现了期待和积极的态度，整体情感倾向为正面。
momo,男人们跟着咱的脚步走,男人们跟着咱的脚步走,男人 跟着 脚步,1,该评论使用了“跟着咱的脚步走”这一积极表达，暗示了引导和带领的正面态度，体现了自信和鼓励的情感，整体情感倾向为正面。
😋（你不要再买了啦！）,我勒个正好在洛阳！,我勒个正好在洛阳,我勒个 正好 洛阳,0,该评论仅陈述了“正好在洛阳”这一事实，没有表达明显的情感倾向或价值判断，属于中性陈述。
攸攸,哇河南人抬起头了,哇河南人抬起头了,河南人 抬起,1,该评论使用了“抬起头了”这一积极表达，通常用于形容自豪、振奋的情绪，体现了对河南人或相关事件的肯定与赞扬，整体情感倾向为正面。
芋头,wow,wow,wow,1,"评论中使用了""wow""这一感叹词，通常表达惊喜、赞叹或兴奋的情绪，属于积极的情感表达，整体情感倾向为正面。"
Yhefug（当牛🐴中）,这个我太熟了,这个我太熟了,我太熟,0,该评论仅表达对某事物的熟悉程度，没有使用明显的情感词汇，也没有表达喜爱、厌恶或批评等情绪，属于陈述事实的中性表达。
栖宁,很有意义的联动,很有意义的联动,意义 联动,1,评论中“很有意义”这一表述直接表达了积极评价，表明用户对联动活动持肯定态度，认为其具有价值或重要性，整体情感倾向明确为正面。
灰灰,你说哪里，终于轮到我们河南了，到我们洛阳了,你说哪里 终于轮到我们河南了 到我们洛阳了,终于 河南 洛阳,1,评论中使用了“终于轮到”表达期待已久的喜悦，以及“我们河南”、“我们洛阳”等带有归属感和自豪感的表述，整体传递出积极、兴奋的情感倾向。
z_zhu,oi！本河南人好开心啊啊啊啊啊啊,oi 本河南人好开心啊,oi 河南人 好开心,1,评论中使用了“好开心”这一明确表达喜悦的积极词汇，并且以“本河南人”的身份强调个人情感，整体传递出强烈的满足和快乐情绪，情感倾向明显为正面。
🌸,涨知识啦,涨知识啦,知识,1,该评论使用了“涨知识啦”这一积极表达，通常用于表示学习到新知识后的喜悦和收获感，体现了对内容价值的认可和满意，整体情感倾向为正面。
雪梨森森🍐,本河南人好开心,本河南人好开心,河南人 好开心,1,评论中使用了“好开心”这一明确表达积极情绪的词汇，直接表达了说话者作为河南人的喜悦之情，整体情感倾向明显为正面。
清蒸黄花鱼（汤水版）,空子！活了！,空子 活了,空子,1,评论中“活了”一词通常用于表达角色或事物重新获得活力、变得生动有趣的含义，带有明显的积极情感色彩，暗示对内容或角色的喜爱与期待，整体情感倾向为正面。
风驰电掣橘师傅,哎呦花灯好看,哎呦花灯好看,花灯 好看,1,评论中“哎呦”是表达惊喜的语气词，“好看”是明确的积极评价词汇，整体表达了对花灯外观的欣赏和喜爱，情感倾向为正面。
米七米七,终于来洛阳啦,终于来洛阳啦,终于 洛阳,1,"评论表达了到达洛阳的喜悦和期待，""终于""一词体现了长久等待后的满足感，整体语气积极，情感倾向为正面。"
猫和鱼zh,终于来我们洛阳了,终于来我们洛阳了,终于 洛阳,1,评论表达了“终于来我们洛阳了”的喜悦和期待，使用“终于”一词体现了长久等待后的满足感，整体情感积极正面。
感冒就吃阿莫西林.,特别好的联动，我就是洛阳的啊啊啊啊啊啊,特别好的联动 我就是洛阳的啊,特别 联动 洛阳,1,评论中“特别好”直接表达了强烈的积极评价，而“我就是洛阳的啊”则体现了对联动内容的地域认同和亲切感，整体情感倾向明确为正面。
铃铛懒懒落落,空子的非遗联名活动真的很有意义！,空子的非遗联名活动真的很有意义,空子 联名 活动 意义,1,评论中使用了“很有意义”这一明确肯定性表述，直接赞扬了联名活动的价值，表达了对活动的认可与支持，整体情感倾向积极正面。
等我一下,来洛阳了,来洛阳了,洛阳,0,该评论仅陈述了“来洛阳了”这一事实，没有表达明显的积极或消极情绪，也未包含评价性词汇，属于中性陈述。
王竹余,就这么宣传我们洛阳哈,就这么宣传我们洛阳哈,宣传 洛阳,1,该评论使用了“宣传我们洛阳”的表达，带有自豪和推广的意味，体现了对洛阳的认同和支持，整体情感倾向积极正面。
MOMO⭐,好棒,好棒,好棒,1,评论中使用了“好棒”这一明确表达赞赏的积极词汇，直接传达出对相关内容的喜爱和肯定，整体情感倾向清晰为正面。
lock,空子好棒 每次都能宣传到中国的优秀文化！,空子好棒 每次都能宣传到中国的优秀文化,空子 好棒 每次 宣传 中国 优秀 文化,1,评论中使用了“好棒”这一积极词汇，并明确赞扬了“宣传到中国的优秀文化”这一行为，表达了对宣传内容的认可与支持，整体情感倾向为正面。
💫XX_ViVi💜（减氪考研版）,空子加油，新的一年继续多多推广我们的非遗,空子加油 新的一年继续多多推广我们的非遗,空子 加油 一年 继续 多多 推广,1,评论中使用了“加油”、“多多推广”等鼓励性词汇，表达了对“空子”的支持和对非遗文化推广的积极期待，整体情感充满鼓励和肯定。
大稚子啥都想吃,空子又来宣传传统文化啦？赏！,空子又来宣传传统文化啦 赏,空子 宣传 传统 文化,1,评论中“宣传传统文化”带有肯定和赞赏的意味，“赏”字在网络语境中常用于表达喜爱或支持，整体传递出对内容积极推广传统文化的认可与鼓励。
林逸瑯,那个灯笼有地方可以买到吗,那个灯笼有地方可以买到吗,灯笼 地方 买到,0,该评论询问灯笼的购买渠道，属于信息咨询类表达，没有使用明显的情感词汇，也没有表达出喜爱、厌恶或批评等主观情绪，整体情感倾向为中性。
批发鱼市场,当他一说河南时，我不能了，我这边就可以看到,当他一说河南时 我不能了 我这边就可以看到,河南 看到,0,该评论仅陈述了“当他一说河南时 我不能了 我这边就可以看到”这一事实，未使用明显的情感词汇，也未表达明确的喜好或批评，属于客观描述，因此情感倾向为中性。
世界级拖延艺术家,洛阳！,洛阳,洛阳,0,该评论仅包含地名“洛阳”，没有表达任何主观评价或情感倾向，属于客观陈述性内容，因此情感倾向为中性。
人菜瘾大艺术家,非遗联动 赞赞赞 ！！ 阿空千万不要搞问卷里的真人主播联动好吗,非遗联动 赞 阿空千万不要搞问卷里的真人主播联动好吗,非遗 联动 阿空 千万 问卷 真人 主播 联动,1,评论开头明确表达了对非遗联动的赞赏（“赞”），体现了积极态度；后半部分虽提出对真人主播联动的担忧，但整体仍以支持非遗联动为主，情感倾向正面。
Xu_落晨璇_沐萱,喜欢，,喜欢,喜欢,1,评论仅包含“喜欢”这一明确表达积极情感的词汇，直接表达了用户对某事物的认可与好感，没有任何负面或中性修饰，整体情感倾向清晰为正面。
今天有大暴雨,欢迎大家来洛阳玩,欢迎大家来洛阳玩,欢迎 大家 洛阳,1,该评论使用了“欢迎”这一积极词汇，表达了对他人来洛阳游玩的热情邀请和友好态度，整体情感倾向为正面。
osakyo_,卧槽妈呀啊啊啊啊啊啊啊啊啊,卧槽妈呀啊,妈呀,0,该评论仅包含感叹词“卧槽妈呀啊”，属于情绪化的口头表达，但未明确指向具体事物或表达明确态度，缺乏具体情感倾向，因此判断为中性。
橘柚方糖,我们大洛阳！好耶,我们大洛阳 好耶,洛阳,1,评论中使用了“好耶”这一积极感叹词，并带有地域自豪感，表达了对洛阳的喜爱和兴奋情绪，整体情感倾向明显为正面。
越清秋,很喜欢深空的几个非遗联动，感觉非常有意义，继续保持,很喜欢深空的几个非遗联动 感觉非常有意义 继续保持,喜欢 深空 几个 非遗 联动 意义 继续 保持,1,评论中使用了“很喜欢”、“非常有意义”、“继续保持”等积极词汇，明确表达了对非遗联动内容的赞赏与支持，并鼓励未来延续此类活动，整体情感倾向为正面。
今天有大暴雨,啊啊啊啊啊应天门是洛阳！！希望阿空可以在洛阳办活动,啊应天门是洛阳 希望阿空可以在洛阳办活动,天门 洛阳 希望 阿空 洛阳 活动,1,评论表达了对应天门位于洛阳的欣喜，并希望阿空在洛阳举办活动，使用“希望”等积极词汇传递了期待与支持的情感，整体倾向正面。
默默鱼,好美,好美,好美,1,"该评论使用了""好美""这一积极赞美词汇，直接表达了对内容或事物的欣赏与喜爱，情感倾向明确为正面。"
转转烤冷面,非遗好耶,非遗好耶,遗好,1,评论中使用了“好耶”这一积极感叹词，表达了对非遗内容的喜爱和支持，整体情感倾向明显为正面。
哈基咪绿豆,啊啊啊啊啊啊是非遗！！！好棒！！！,啊是非遗 好棒,是非 好棒,1,评论中使用了“好棒”这一积极词汇，表达了对非遗内容的赞赏和喜爱，整体情感倾向明显为正面。
祁煜骑鱼吃小鱼,愿年年有煜，携手共进,愿年年有煜 携手共进,愿年 携手 共进,1,评论中“愿年年有煜”表达了长久的美好祝愿，“携手共进”体现了积极合作、共同进步的意愿，整体语言充满希望与正向期许，情感倾向明显为正面。
无敌茉莉大王,黎深,黎深,黎深,0,"该评论仅提及角色名称""黎深""，未表达任何情感倾向或评价性内容，属于中性陈述，无法判断正面或负面情感。"
恶毒继母,真好哇真好哇,真好哇真好哇,好哇 好哇,1,评论中重复使用“真好哇”这一感叹词，语气强烈且充满喜悦，表达了对某事物的高度赞赏和积极情绪，整体情感倾向明显为正面。
™䎅枯,洛阳也是好上了,洛阳也是好上了,洛阳,1,评论中“好上了”是积极表达，通常表示事物变得更好或更受欢迎，体现了对洛阳发展的认可和赞赏，整体情感倾向为正面。
你瞅啥,好想去洛阳看灯，还有小红书上控什么评啊，要控评去微博不就好了吗？也给我们留点呼吸的空间吧,好想去洛阳看灯 还有小红书上控什么评啊 要控评去微博不就好了吗 也给我们留点呼吸的空间吧,洛阳 看灯 小红 书上 控评 微博 好了吗 留点 呼吸 空间,-1,评论前半句表达了想去洛阳看灯的积极愿望，但后半句通过“控什么评啊”、“留点呼吸的空间”等表述，明显表达了对小红书控评行为的不满和反感，整体情感倾向为负面。
Etheamorfati,很好看，什么时候补卡呢,很好看 什么时候补卡呢,好看 补卡,1,评论中“很好看”直接表达了积极的评价和喜爱，而“什么时候补卡呢”则透露出对后续内容的期待和兴趣，整体情感倾向为正面。
泠-,泥？怎么不早宣！,泥 怎么不早宣,不早,-1,该评论使用了“泥”这一网络用语（可能为“你”的谐音或昵称），结合“怎么不早宣”的质问语气，表达了对信息发布延迟的不满和抱怨，整体情感倾向为负面。
麻辣香锅不要锅,非遗联动特别特别好！！！夸夸,非遗联动特别特别好 夸夸,非遗 联动 特别 特别 夸夸,1,评论中使用了“特别特别好”和“夸夸”等强烈积极的表达，直接表达了对非遗联动内容的喜爱和赞赏，整体情感倾向明显为正面。
乙了全世界又如何,终于到我们河南了,终于到我们河南了,终于 河南,1,评论表达了“终于到我们河南了”的喜悦和期待之情，使用“终于”一词传达出等待已久的满足感，整体情感积极正面。
茵茵,喜欢,喜欢,喜欢,1,该评论仅包含“喜欢”这一明确表达积极情感的词汇，直接传递出对内容的认可和欣赏，没有任何负面或中性修饰，因此整体情感倾向为正面。
今天吃鱼啵啵,马上就要去洛阳玩儿了 好美哎,马上就要去洛阳玩儿了 好美哎,马上 就要 洛阳 玩儿 好美,1,"评论中使用了""好美哎""等积极词汇，表达了对洛阳景色的赞美和期待之情，整体情感倾向明显为正面。"
停车买蟹排,联动到家门口了,联动到家门口了,联动 家门口,1,评论中“联动到家门口了”使用了“到家门口”这一表达，暗示联动内容非常贴近、方便或令人惊喜，带有积极和欢迎的意味，整体情感倾向为正面。
孟,许愿明年自贡灯会能见到他们,许愿明年自贡灯会能见到他们,许愿 明年 自贡 灯会 见到,1,评论表达了“许愿明年自贡灯会能见到他们”的期待和向往，其中“许愿”和“能见到”体现了对未来的积极憧憬和喜爱之情，整体情感倾向为正面。
一个小橙,洛阳…出发…,洛阳 出发,洛阳 出发,0,该评论仅包含地点和动作描述“洛阳 出发”，没有表达任何情感色彩或主观评价，属于中性陈述，无法判断正面或负面倾向。
华生（见过谷江山版）,哪？！家门口？！,哪 家门口,家门口,0,该评论仅提及“哪家门口”，未表达明确的情感态度或评价，属于客观陈述或疑问，缺乏积极或消极的情感词汇，因此判断为中性。
飘雪山0915,好看(*´ω｀*),好看 ω,好看,1,评论使用了“好看”这一明确的积极评价词汇，并辅以颜文字“ω”表达愉悦或喜爱的情绪，整体传达出对内容的赞赏和满意，情感倾向明显为正面。
菇菇,你们把钱多花在这种地方这不挺好，少请点莫名其妙的水军和拉踩通稿吧,你们把钱多花在这种地方这不挺好 少请点莫名其妙的水军和拉踩通稿吧,多花 地方 少请点 莫名其妙 水军 通稿,-1,评论前半句“把钱多花在这种地方这不挺好”表面肯定，但结合后半句“少请点莫名其妙的水军和拉踩通稿吧”的讽刺性建议，整体表达了对公司营销方式的不满和批评，带有明显的负面情绪。
momo,好好好来我家了,好来我家了,好来 我家,1,该评论使用了“好来”这一积极表达，通常用于表示欢迎或期待，结合“我家了”的亲切语气，整体传递出喜悦和接纳的情感，属于正面评价。
桶装绿茶,和小鱼一起去洛阳🐟🐟🥹🥹🥹,和小鱼一起去洛阳,小鱼 一起 洛阳,0,该评论仅陈述了“和小鱼一起去洛阳”这一事实，没有使用明显的情感词汇或表达态度，属于客观描述性内容，因此情感倾向为中性。
阳光小汽水,喜欢喜欢,喜欢喜欢,喜欢 喜欢,1,评论中重复使用“喜欢”这一积极词汇，直接表达了强烈的喜爱和肯定态度，情感倾向明确为正面。
苏鱼饼（厌学版）,和哥哥一起过年！！,和哥哥一起过年,哥哥 一起 过年,1,该评论表达了与亲人共度佳节的温馨场景，“和哥哥一起过年”传递出团聚的喜悦和亲情的美好，整体情感积极温暖，属于正面倾向。
看月亮的夜猫,哇哦我家乡哎，好自豪,哇哦我家乡哎 好自豪,家乡 自豪,1,评论中使用了“哇哦”表达惊喜，“好自豪”直接表达了积极的情感，整体展现了对自己家乡的喜爱和自豪感，情感倾向明显为正面。
麻雀酱QAQ,洛阳上大分,洛阳上大分,洛阳 上大分,1,评论中“上大分”是网络流行语，意为“加分”“表现优秀”，表达了对洛阳的积极肯定和赞扬，整体情感倾向明显为正面。
爱吃烤肉🥩,传播中国传统文化,传播中国传统文化,传播 中国 传统 文化,1,该评论直接表达了对传播中国传统文化的支持与肯定，体现了积极的文化认同和自豪感，整体情感倾向为正面。
双矣白竹,哇塞好好看啊,哇塞好好看啊,哇塞 好好看,1,评论中使用了“哇塞”、“好好看啊”等感叹词和积极词汇，表达了对内容的强烈喜爱和赞美，整体情感倾向明显为正面。
小歪（拼豆版）,好干净的评论区啊,好干净的评论区啊,干净 评论,1,评论中“好干净”这一表述带有明显的赞赏意味，通常用于形容环境整洁或氛围和谐，在此语境下表达了评论者对评论区良好氛围的认可和满意，整体情感倾向为正面。
远路,好喜欢非遗联动～,好喜欢非遗联动,喜欢 非遗 联动,1,评论中“好喜欢”直接表达了强烈的积极情感，非遗联动通常具有文化传承的正面意义，整体语气充满赞赏和期待，情感倾向明显为正面。
4pple:ss,好好看呀,好好看呀,好好看,1,"该评论使用了""好好看""这一积极表达，直接表达了对内容的喜爱和赞赏，情感倾向明确为正面。"
就你睡不醒,都来洛阳了不办个活动嘛,都来洛阳了不办个活动嘛,洛阳 办个 活动,0,该评论以疑问句形式提出建议，表达了对在洛阳举办活动的期待，但并未使用明显的情感词汇，整体语气较为平和，属于中性表达。
猫宁,我希望你等我开学了再搞线下活动！！！！！！！,我希望你等我开学了再搞线下活动,希望 开学 线下 活动,-1,评论表达了因开学时间冲突而对线下活动安排的不满，使用“希望...再搞”的句式暗示当前时机不合适，带有遗憾和抱怨情绪，整体情感倾向为负面。
穹,传播中华文化，深空棒棒的！,传播中华文化 深空棒棒的,传播 中华文化 深空 棒棒,1,该评论使用了“传播中华文化”这一积极表述，并搭配“棒棒的”这一网络流行褒义词，明确表达了对深空在文化传播方面的肯定与赞扬，整体情感倾向为正面。
里烟,好好好特别好,好特别好,特别,1,"该评论使用了""好特别""这一积极词汇，直接表达了对内容的赞赏和喜爱，虽然没有具体描述，但语气明确肯定，整体情感倾向为正面。"
zzzkkkkkk33,太好了我明天去洛阳,太好了我明天去洛阳,太好了 明天 洛阳,1,评论中使用了“太好了”这一强烈积极的表达，直接传达出喜悦和期待的情绪，结合“去洛阳”这一具体行动，整体表现出对即将发生之事的兴奋和正面态度。
Deutzia,很用心 很有意义的活动,很用心 很有意义的活动,用心 意义 活动,1,评论中使用了“很用心”、“很有意义”等积极词汇，直接表达了对活动的高度认可和赞赏，整体情感倾向明确为正面。
二号,我们大洛阳,我们大洛阳,洛阳,1,该评论以“我们大洛阳”表达对洛阳的归属感和自豪感，使用“大”字带有积极的情感色彩，体现了对洛阳的喜爱和认同，整体情感倾向为正面。
Cisyam,好看！,好看,好看,1,评论中使用了“好看”这一明确表达欣赏和喜爱的积极词汇，直接表达了对内容的肯定和满意，整体情感倾向为正面。
